ID,TITLE,DATE,AUTHOR,LINK
0,How to change the region on an HP OfficeJet printer in 57 easy steps (printer companies hate this!),2023-04-01,Nathan Edwards,https://www.theverge.com/23648726/hp-officejet-printer-region-how-to-change-why
1,GM is cutting off access to Apple CarPlay and Android Auto for its future EVs,2023-03-31,Andrew J. Hawkins,https://www.theverge.com/2023/3/31/23664814/gm-ev-restrict-apple-carplay-android-auto-google
2,"Twitter takes its algorithm ‘open-source,’ as Elon Musk promised",2023-03-31,Mitchell Clark,https://www.theverge.com/2023/3/31/23664849/twitter-releases-algorithm-musk-open-source
3,Fitbit’s attempt to disappear the button proved why they matter,2023-03-31,Victoria Song,https://www.theverge.com/2023/3/31/23655322/fitbit-charge-3-button-of-the-month
4,The shape of Kirby,2023-03-31,Ash Parrish,https://www.theverge.com/2023/3/31/23663707/kirby-interview-gdc-2023-kirby-and-the-forgotten-land-nintendo
5,The best ways to play Tetris in 2023,2023-03-31,Andrew Webster,https://www.theverge.com/2023/3/31/23663214/best-ways-to-play-tetris-2023
6,"When healthcare is decided by algorithms, who wins?",2023-04-01,Barbara Krasnoff,https://www.theverge.com/23664533/medicare-advantage-healthcare-algorithm
7,Riot made its esports arena transform for new Valorant league,2023-04-01,Andrew Webster,https://www.theverge.com/2023/4/1/23662992/riot-games-arena-valorant-esports-league
8,"Y’all, this laptop is too much",2023-03-31,Monica Chin,https://www.theverge.com/2023/3/30/23660652/asus-rog-flow-z13-acronym-gaming-laptop-tablet-review
9,Amazon just opened up its Sidewalk network for anyone to build connected gadgets on,2023-04-01,Jennifer Pattison Tuohy,https://www.theverge.com/2023/3/28/23659191/amazon-sidewalk-network-coverage
10,Just about says it all.,2023-03-31,Nilay Patel,https://www.theverge.com/2023/3/31/23665499/just-about-says-it-all
11,Quick fixes: When Disney Plus is so dark you can barely see anything,2023-03-31,Sean Hollister,https://www.theverge.com/2023/3/31/23522169/how-to-fix-disney-plus-brightness-dark-hdr-dolby-vision
12,The internet is doing something to our memories.,2023-03-31,Adi Robertson,https://www.theverge.com/2023/3/31/23665401/the-internet-is-doing-something-to-our-memories
13,This hoverboard is being recalled after a fire that killed two children,2023-03-31,Jay Peters,https://www.theverge.com/2023/3/31/23665249/hoverboard-recall-jetson-rogue-cspc-recall-fire-risk
14,Marvel’s Secret Invasion series actually sounds kind of fascinating,2023-03-31,Charles Pulliam-Moore,https://www.theverge.com/2023/3/31/23665128/marvel-secret-invasion-disney-plus-skrulls
15,The Fox News election defamation case will go to trial next month.,2023-03-31,Adi Robertson,https://www.theverge.com/2023/3/31/23665335/the-fox-news-election-defamation-case-will-go-to-trial-next-month
16,"Twitter’s $1,000 checkmark will be free for the 10,000 most-followed companies",2023-03-31,Mitchell Clark,https://www.theverge.com/2023/3/31/23664923/twitter-verification-for-organizations-free-for-most-followed
17,"The Murder of Sonic the Hedgehog is a new, real, and free game you can play right now",2023-03-31,Antonio G. Di Benedetto,https://www.theverge.com/2023/3/31/23665215/sonic-the-hedgehog-murder-mystery-game-free-steam
18,This is what a plant sounds like when it’s stressed,2023-03-31,Justine Calma,https://www.theverge.com/2023/3/31/23664767/plant-sounds-stress-tomato-tobacco-research
19,"X-ray vision, Stream Deck edition.",2023-03-31,Sean Hollister,https://www.theverge.com/2023/3/31/23665197/x-ray-vision-stream-deck-edition
20,Cars are becoming featurephones and that’s a terrible future.,2023-03-31,T.C. Sottek,https://www.theverge.com/2023/3/31/23665193/cars-are-becoming-featurephones-and-thats-a-terrible-future
21,The ‘Truckla’ DIY Tesla pickup truck is still trucking,2023-03-31,Umar Shakir,https://www.theverge.com/2023/3/31/23664748/truckla-tesla-model-3-pickup-truck-update-simone-giertz-video
22,The Verge’s 13 favorite kitchen tools,2023-03-29,Verge Staff,https://www.theverge.com/23658631/kitchen-cooking-coffee-gadgets-favorite-tech
23,The White House says it won’t pay Elon Musk for blue checks.,2023-03-31,Adi Robertson,https://www.theverge.com/2023/3/31/23665139/the-white-house-says-it-wont-pay-elon-musk-for-blue-checks
24,Want to give the iOS 16.5 Public Beta a test spin?,2023-03-31,Umar Shakir,https://www.theverge.com/2023/3/31/23665118/want-to-give-the-ios-16-5-public-beta-a-test-spin
25,"Silk Road Bitcoin is back on the market, baby!",2023-03-31,Elizabeth Lopatto,https://www.theverge.com/2023/3/31/23664927/silk-road-bitcoin-is-back-on-the-market-baby
